ID,names,masl,s_name,owner,mun,X,Y,From,To,timeOffset,timeResolution
SN32240,BØ,105,Bø,NIBIO,MIDT-TELEMARK,9.0287,59.4175,2013-02-06T00:00:00.000Z,NA,PT0H,PT1H
SN19455,BÆRUM - HAMANGSKOGEN,19,Hamangskogen,BÆRUM KOMMUNE,BÆRUM,10.51535,59.89285,2016-06-21T00:00:00.000Z,NA,PT0H,PT1H
SN30248,BREVIK,3,Brevik,PORSGRUNN KOMMUNE,PORSGRUNN,9.7014,59.0537,2015-11-09T00:00:00.000Z,NA,PT0H,PT1H
SN27162,ÅSGÅRDSTRAND,61,ÅSGÅRDSTRAND ,HORTEN KOMMUNE,HORTEN,10.46,59.3563,2018-09-27T00:00:00.000Z,NA,PT0H,PT1H
SN4780,GARDERMOEN,202,Gardermoen,AVINOR,ULLENSAKER,11.0802,60.2065,2019-11-28T00:00:00.000Z,NA,PT0H,PT1H
SN3120,ROLVSØY - ELVENESVEIEN,9,NA,FREDRIKSTAD KOMMUNE,FREDRIKSTAD,11.0207,59.2597,2003-04-01T00:00:00.000Z,2017-12-31T00:00:00.000Z,PT0H,PT1H
SN19718,ASKER BRANNSTASJON II,115,Asker brannst ,ASKER KOMMUNE,ASKER,10.439,59.8303,2019-10-21T00:00:00.000Z,NA,PT0H,PT1H
SN19458,NADDERUD,71,Nadderud,BÆRUM KOMMUNE,BÆRUM,10.5878,59.9248,2016-11-09T00:00:00.000Z,NA,PT0H,PT1H
SN28923,FV40 VEGGLI,227,Veggli,STATENS VEGVESEN,ROLLAG,9.1667,60.0393,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN27470,TORP,88,Torp,SANDEFJORD LUFTHAVN TORP,SANDEFJORD,10.2553,59.1845,1972-04-15T00:00:00.000Z,1987-11-30T00:00:00.000Z,PT0H,PT1H
SN19530,AUREVANN,277,Aurevann,BÆRUM KOMMUNE,BÆRUM,10.4601,59.9967,2016-11-09T00:00:00.000Z,NA,PT0H,PT1H
SN27120,HORTEN - NYKIRKE,70,Nykirke,HORTEN KOMMUNE,HORTEN,10.3847,59.4283,2015-06-01T00:00:00.000Z,NA,PT0H,PT1H
SN17870,ÅS - RUSTADSKOGEN,120,Rustadskogen,NVE,ÅS,10.8107,59.6703,1974-05-04T00:00:00.000Z,NA,PT0H,PT1H
SN24240,RV7 RALLERUD,212,Rallerud,STATENS VEGVESEN,RINGERIKE,9.8453,60.2588,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN30350,SKIEN - JØNNEVALL,45,Jønnevall ,SKIEN KOMMUNE,SKIEN,9.5667,59.2695,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
SN17780,BLEKSLITJERN,104,Blekslitjern,NESODDEN KOMMUNE,NESODDEN,10.6308,59.8095,2015-01-08T00:00:00.000Z,NA,PT0H,PT1H
SN4825,FV170 KOMPVEIEN,145,NA,STATENS VEGVESEN,LILLESTRØM,11.3015,59.942,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN30278,SKIEN - KLYVE,62,Klyve ,SKIEN KOMMUNE,SKIEN,9.6177,59.1465,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
SN17810,NESODDEN - TANGENÅSEN,98,Tangenåsen,NESODDEN KOMMUNE,NESODDEN,10.6622,59.8553,2015-01-07T00:00:00.000Z,NA,PT0H,PT1H
